stateFips,area,areaType,period,periodYear,periodType,periodTypeDescription,cpi,title,type,source,cpiSourceDescription,percentChangeYear,percentChangeMonth,dataRegion,areaName
0,0,0,10,2010,3,Monthly,218.7,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",1.2,0.1,US,United States
8,2,24,12,2011,7,Semi-Annual,456.8,CPI-U:  Medical Care,56,1,"US DOL, Bureau of Labor Statistics",2.1,,CO,Denver/Boulder/Greeley
0,0,0,10,2010,3,Monthly,218.9,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",1.2,0.2,US,United States
0,0,0,11,2010,3,Monthly,218.8,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",1.1,0,US,United States
0,0,0,11,2010,3,Monthly,219.1,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",1.1,0.1,US,United States
0,0,0,12,2010,3,Monthly,219.2,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",1.5,0.2,US,United States
0,0,0,12,2010,3,Monthly,220.3,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",1.4,0.5,US,United States
0,0,0,0,2011,1,Annual,229.594,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",2.1,,US,United States
0,0,0,1,2011,3,Monthly,220.2,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",1.6,0.5,US,United States
0,0,0,1,2011,3,Monthly,221.1,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",1.7,0.4,US,United States
8,2,24,12,2011,7,Semi-Annual,144.3,CPI-U:  Recreation,57,1,"US DOL, Bureau of Labor Statistics",1.7,,CO,Denver/Boulder/Greeley
